CustomerID,Recency,Frequency,Monetary,AvgPurchaseValue
12423,1,8,1859.31,232.41375
12424,163,2,1760.96,880.48
12425,78,1,777.2,777.2
12426,195,1,582.73,582.73
12427,22,3,825.8,275.26666666666665
12428,26,9,7956.46,884.0511111111111
12429,9,4,3750.4,937.6
12430,43,1,256.4,256.4
12431,36,15,6487.45,432.49666666666667
12432,43,5,5059.32,1011.8639999999999
12433,1,7,13375.87,1910.8385714285716
12434,85,2,806.14,403.07
12435,80,2,7829.89,3914.945
12436,100,1,509.01,509.01
12437,2,18,4951.41,275.0783333333333
12438,14,2,2906.85,1453.425
12441,367,1,173.55,173.55
12442,3,1,172.06,172.06
12444,21,5,5005.46,1001.092
12445,22,1,133.4,133.4
12446,58,1,1002.3100000000001,1002.3100000000001
12447,243,1,476.49,476.49
12448,44,1,449.45,449.45
12449,22,4,4067.29,1016.8225
12450,156,2,197.88,98.94
12451,11,5,9035.52,1807.104
12452,17,2,430.57,215.285
12453,134,1,707.09,707.09
12454,56,1,3528.34,3528.34
12455,73,6,2466.86,411.1433333333334
12456,44,3,3181.04,1060.3466666666666
12457,66,7,2363.23,337.6042857142857
12458,71,2,947.4,473.7
12461,94,2,826.88,413.44
12462,19,2,1189.59,594.795
12463,53,4,1344.78,336.195
12464,10,8,1212.05,151.50625
12465,17,2,742.1899999999999,371.09499999999997
12468,188,2,729.5400000000001,364.77000000000004
12471,2,30,19824.05,660.8016666666666
12472,32,7,6572.11,938.8728571428571
12473,29,5,3938.5499999999997,787.7099999999999
12474,17,18,7375.79,409.7661111111111
12475,54,1,723.38,723.38
12476,16,11,6816.42,619.6745454545454
12477,23,6,13219.74,2203.29
12478,4,1,680.99,680.99
12479,11,1,527.2,527.2
12480,28,4,3281.63,820.4075
12481,23,10,5596.32,559.632
12483,17,8,2484.98,310.6225
12484,33,6,4541.72,756.9533333333334
12488,10,3,1298.66,432.8866666666667
12489,336,1,334.93,334.93
12490,5,10,5417.93,541.793
12491,39,1,460.40000000000003,460.40000000000003
12492,63,2,263.21000000000004,131.60500000000002
12493,166,2,433.74,216.87
12494,16,7,1246.1000000000001,178.01428571428573
12497,82,1,1043.1,1043.1
12498,21,3,403.70000000000005,134.5666666666667
12500,23,11,4257.82,387.07454545454544
12501,337,1,2169.39,2169.39
12502,96,5,3723.87,744.774
12504,18,2,482.04999999999995,241.02499999999998
12506,233,1,73.5,73.5
12507,134,3,1304.81,434.93666666666667
12508,26,2,398.27,199.135
12509,284,1,176.5,176.5
12510,143,2,982.5699999999999,491.28499999999997
12512,66,2,138.03,69.015
12513,113,1,612.29,612.29
12514,267,1,1017.68,1017.68
12515,353,1,383.7,383.7
12516,78,2,1312.06,656.03
12517,28,5,2502.84,500.56800000000004
12518,1,5,2056.89,411.378
12519,64,1,340.84,340.84
12520,79,5,2634.26,526.8520000000001
12521,143,1,599.68,599.68
12522,39,2,192.72,96.36
12523,19,11,1789.77,162.70636363636365
12524,9,8,4485.72,560.715
12526,1,3,1316.66,438.8866666666667
12527,82,3,348.71000000000004,116.23666666666668
12528,9,6,1933.48,322.24666666666667
12530,60,4,1662.28,415.57
12531,15,1,125.22,125.22
12532,30,1,349.83000000000004,349.83000000000004
12534,131,1,1089.18,1089.18
12535,92,2,716.35,358.175
12536,43,3,12601.830000000002,4200.610000000001
12538,29,1,363.95,363.95
12539,22,4,5568.35,1392.0875
12540,20,17,13400.24,788.2494117647059
12541,30,3,981.18,327.06
12544,36,1,372.7,372.7
12545,75,2,1000.39,500.195
12546,47,2,1161.5,580.75
12547,198,2,207.79999999999998,103.89999999999999
12548,166,1,95.19999999999999,95.19999999999999
12550,79,1,964.83,964.83
12551,358,1,168.0,168.0
12552,39,2,437.82,218.91
12553,8,10,3692.28,369.228
12556,50,2,603.71,301.855
12557,16,5,11990.960000000001,2398.192
12558,8,1,269.96,269.96
12559,311,2,561.71,280.855
12560,5,3,2134.01,711.3366666666667
12561,303,1,238.85,238.85
12562,8,7,3781.7400000000002,540.2485714285715
12564,261,1,456.9,456.9
12565,289,1,145.92,145.92
12566,86,1,351.65,351.65
12567,23,10,9401.28,940.128
12569,2,32,4124.69,128.8965625
12571,40,2,519.61,259.805
12572,9,2,1020.42,510.21
12573,227,1,160.54000000000002,160.54000000000002
12574,316,1,218.45,218.45
12576,36,5,1315.83,263.166
12577,35,3,657.8,219.26666666666665
12578,21,2,2794.51,1397.255
12579,78,1,440.42,440.42
12580,247,1,415.7,415.7
12581,40,1,197.71,197.71
12582,239,2,511.36,255.68
12583,3,15,7281.38,485.42533333333336
12584,4,9,2338.15,259.7944444444445
12585,234,2,2040.1,1020.05
12586,17,1,196.94000000000003,196.94000000000003
12587,8,1,144.0,144.0
12588,39,1,214.89999999999998,214.89999999999998
12589,29,2,646.68,323.34
12590,211,2,9864.26,4932.13
12591,317,1,452.84999999999997,452.84999999999997
12592,92,2,437.6,218.8
12593,109,3,418.09999999999997,139.36666666666665
12594,38,10,3338.2200000000003,333.822
12596,51,2,618.27,309.135
12597,19,4,3811.22,952.805
12598,10,8,3023.08,377.885
12599,29,7,1032.58,147.51142857142855
12600,29,10,2599.04,259.904
12601,190,5,577.0600000000001,115.412
12602,59,1,153.12,153.12
12603,22,1,739.1999999999999,739.1999999999999
12604,79,2,254.18,127.09
12607,60,1,1579.51,1579.51
12609,78,3,1126.85,375.6166666666666
12610,23,5,2099.54,419.908
12611,52,1,1193.32,1193.32
12612,74,1,704.0400000000001,704.0400000000001
12613,57,5,3344.38,668.876
12614,278,1,315.6,315.6
12615,2,4,2291.19,572.7975
12616,95,2,713.3,356.65
12617,29,1,355.53,355.53
12618,22,1,177.31,177.31
12619,16,9,3641.24,404.5822222222222
12620,15,3,1339.41,446.47
12621,2,20,13689.67,684.4835
12622,232,1,180.1,180.1
12623,276,1,305.1,305.1
12624,106,2,641.13,320.565
12625,212,2,2683.82,1341.91
12626,23,9,6620.48,735.6088888888888
12627,11,7,4478.53,639.79
12628,4,3,786.46,262.15333333333336
12630,10,2,1270.88,635.44
12631,57,1,640.5,640.5
12633,59,4,2163.98,540.995
12635,90,2,1689.18,844.59
12637,67,8,6021.9,752.7375
12638,33,1,671.69,671.69
12639,239,1,486.1,486.1
12640,24,3,1174.58,391.52666666666664
12641,115,1,185.9,185.9
12642,25,3,1013.26,337.75333333333333
12643,128,6,3344.64,557.4399999999999
12644,130,1,477.91,477.91
12645,34,4,1775.18,443.795
12646,5,2,1346.97,673.485
12647,22,12,3722.82,310.235
12648,155,1,318.05,318.05
12649,107,3,623.51,207.83666666666667
12650,3,1,314.44,314.44
12651,335,1,114.0,114.0
12652,331,1,919.98,919.98
12653,149,2,2209.85,1104.925
12654,11,5,601.98,120.396
12656,17,5,4051.17,810.234
12657,11,4,1643.18,410.795
12658,19,1,686.05,686.05
12659,30,1,91.68,91.68
12660,11,1,245.1,245.1
12662,1,11,3849.78,349.98
12664,8,9,4881.88,542.4311111111111
12665,325,1,63.0,63.0
12667,58,1,620.13,620.13
12668,12,4,3807.15,951.7875
12669,151,3,2744.0299999999997,914.6766666666666
12670,10,5,2996.05,599.21
12672,330,1,225.89999999999998,225.89999999999998
12673,5,2,610.52,305.26
12674,39,4,1970.6,492.65
12676,25,6,1331.39,221.89833333333334
12678,42,12,17628.46,1469.0383333333332
12679,59,4,1113.02,278.255
12680,1,4,862.81,215.7025
12681,15,22,13787.54,626.7063636363637
12682,4,31,12288.22,396.3941935483871
12683,4,15,8476.57,565.1046666666666
12684,8,7,2283.63,326.23285714285714
12685,28,6,2863.08,477.18
12686,372,1,89.14,89.14
12688,114,1,4873.8099999999995,4873.8099999999995
12689,26,2,1247.61,623.805
12690,206,1,389.01,389.01
12691,28,6,1035.8,172.63333333333333
12693,127,4,855.91,213.9775
12694,70,2,869.67,434.835
12695,7,4,582.1,145.525
12697,29,3,957.59,319.19666666666666
12700,8,4,4939.99,1234.9975
12701,80,2,797.71,398.855
12702,20,1,219.0,219.0
12703,71,1,283.55,283.55
12704,7,8,2340.84,292.605
12705,15,9,6868.29,763.1433333333333
12707,292,1,603.42,603.42
12708,30,10,2712.91,271.291
12709,15,15,9736.52,649.1013333333334
12710,97,3,1149.02,383.00666666666666
12712,29,13,4396.13,338.1638461538462
12713,1,1,848.55,848.55
12714,9,5,4708.86,941.7719999999999
12715,106,1,353.86,353.86
12716,4,2,1053.49,526.745
12717,151,2,1030.98,515.49
12718,71,1,238.25,238.25
12719,5,2,644.95,322.475
12720,3,25,5781.73,231.26919999999998
12721,32,6,2656.13,442.68833333333333
12722,85,4,997.63,249.4075
12723,4,5,725.07,145.014
12724,5,4,1031.41,257.8525
12725,371,1,427.8,427.8
12726,28,7,2609.1,372.7285714285714
12727,11,7,3980.7,568.6714285714286
12728,71,4,836.33,209.0825
12729,114,1,453.01,453.01
12731,24,12,18895.91,1574.6591666666666
12732,180,1,236.26000000000002,236.26000000000002
12733,234,1,383.95,383.95
12734,353,1,110.39999999999999,110.39999999999999
12735,315,2,779.5699999999999,389.78499999999997
12736,333,1,234.0,234.0
12738,372,1,155.35,155.35
12739,78,2,1013.04,506.52
12740,64,1,427.6,427.6
12743,134,2,546.43,273.215
12744,52,7,21279.29,3039.8985714285714
12747,2,11,4196.01,381.4554545454546
12748,1,209,33719.73,161.3384210526316
12749,4,5,4090.88,818.176
12750,129,1,275.88,275.88
12752,81,1,4366.78,4366.78
12753,23,6,21429.39,3571.565
12754,236,3,3010.74,1003.5799999999999
12755,281,2,3811.95,1905.975
12756,87,1,112.07999999999998,112.07999999999998
12757,16,13,7857.1,604.3923076923077
12758,117,2,2791.59,1395.795
12759,52,3,1531.44,510.48
12762,8,2,1898.52,949.26
12763,138,2,494.08,247.04
12764,317,1,1693.88,1693.88
12766,4,7,6989.63,998.5185714285715
12769,239,1,1143.6,1143.6
12770,211,1,1351.45,1351.45
12772,60,1,892.47,892.47
12775,17,5,1386.04,277.20799999999997
12778,20,6,822.23,137.03833333333333
12779,38,8,3981.36,497.67
12781,64,2,826.74,413.37
12782,5,5,2330.92,466.184
12783,2,6,2225.91,370.98499999999996
12784,9,2,574.42,287.21
12785,364,1,311.95,311.95
12787,10,3,463.66,154.55333333333334
12789,65,1,91.85,91.85
12790,192,1,324.92,324.92
12791,374,1,192.60000000000002,192.60000000000002
12792,257,1,400.53999999999996,400.53999999999996
12793,335,2,545.48,272.74
12794,53,2,860.41,430.205
12795,19,1,430.48,430.48
12797,366,1,254.03,254.03
12798,10,3,6977.04,2325.68
12802,187,1,427.58,427.58
12808,37,3,483.65000000000003,161.21666666666667
12809,178,1,489.31,489.31
12811,261,3,514.85,171.61666666666667
12812,45,1,229.64000000000001,229.64000000000001
12814,102,1,125.92,125.92
12815,148,2,1063.46,531.73
12816,96,2,572.2,286.1
12817,281,1,166.04,166.04
12818,262,1,1542.08,1542.08
12820,3,4,942.34,235.585
12821,214,1,92.72,92.72
12822,71,2,948.88,474.44
12823,75,5,1759.5,351.9
12824,60,1,397.12,397.12
12826,3,7,1474.72,210.67428571428573
12827,6,3,430.15000000000003,143.38333333333335
12828,3,6,1018.71,169.785
12829,337,2,293.0,146.5
12830,38,6,6814.64,1135.7733333333333
12831,262,1,215.05,215.05
12832,32,2,383.03,191.515
12833,145,1,417.38,417.38
12834,283,1,312.38,312.38
12836,59,4,2612.86,653.215
12837,173,1,134.1,134.1
12838,34,2,683.13,341.565
12839,3,14,5591.42,399.38714285714286
12840,144,4,2726.77,681.6925
12841,5,25,4022.35,160.894
12842,70,2,1118.99,559.495
12843,66,8,1702.26,212.7825
12844,29,2,325.96000000000004,162.98000000000002
12845,267,4,354.09,88.5225
12847,22,1,871.54,871.54
12849,31,2,1050.8899999999999,525.4449999999999
12851,97,1,135.18,135.18
12852,295,1,311.55,311.55
12853,135,6,1957.1000000000001,326.18333333333334
12854,79,3,1324.5,441.5
12855,373,1,38.1,38.1
12856,8,6,2179.93,363.32166666666666
12857,211,2,1106.4,553.2
12863,52,1,521.2,521.2
12864,138,1,147.12,147.12
12865,26,2,1568.23,784.115
12866,283,1,559.12,559.12
12867,26,7,4036.82,576.6885714285714
12868,186,6,1607.0600000000002,267.84333333333336
12871,84,2,380.64,190.32
12872,327,2,599.97,299.985
12873,282,1,374.0,374.0
12875,143,2,343.2300000000001,171.61500000000004
12876,58,2,2218.02,1109.01
12877,4,12,1535.77,127.98083333333334
12878,236,2,854.99,427.495
12879,45,3,573.22,191.07333333333335
12881,276,1,298.0,298.0
12882,9,2,1463.04,731.52
12883,25,4,703.47,175.8675
12884,88,1,309.05,309.05
12885,63,3,1175.22,391.74
12886,68,2,1378.4,689.2
12888,214,2,354.12,177.06
12890,24,1,380.46999999999997,380.46999999999997
12891,186,3,331.0,110.33333333333333
12893,31,1,188.14,188.14
12895,42,2,372.8,186.4
12897,205,2,216.5,108.25
12901,9,28,17654.54,630.5192857142857
12902,265,1,138.68,138.68
12904,18,2,509.58,254.79
12906,12,5,2919.81,583.962
12908,176,2,750.0,375.0
12909,40,5,2178.67,435.73400000000004
12910,23,8,3075.04,384.38
12912,3,5,1662.3,332.46
12913,5,5,2483.63,496.726
12915,149,2,363.65,181.825
12916,139,4,3006.15,751.5375
12917,128,1,594.0,594.0
12919,8,6,1335.19,222.53166666666667
12920,17,1,164.23,164.23
12921,9,37,16587.09,448.29972972972973
12922,161,1,405.38,405.38
12923,64,1,176.97,176.97
12924,88,4,933.7,233.425
12925,5,2,694.05,347.025
12928,35,5,2062.7000000000003,412.5400000000001
12929,312,1,117.85,117.85
12930,78,2,415.8,207.9
12931,22,15,42055.96,2803.730666666667
12933,24,3,607.53,202.51
12935,2,7,2160.7,308.6714285714285
12936,17,4,1063.9,265.975
12937,15,4,1504.27,376.0675
12938,26,1,114.14,114.14
12939,64,8,11581.8,1447.725
12940,55,2,913.54,456.77
12942,131,3,683.9,227.96666666666667
12944,36,2,604.51,302.255
12945,288,1,462.95,462.95
12947,144,6,1603.99,267.33166666666665
12948,16,7,2064.95,294.99285714285713
12949,31,8,4167.22,520.9025
12950,2,3,1843.0,614.3333333333334
12951,9,6,1064.07,177.345
12952,6,4,1387.79,346.9475
12953,10,1,329.85,329.85
12955,1,11,4757.16,432.4690909090909
12956,306,1,108.07,108.07
12957,10,8,4017.54,502.1925
12962,7,2,266.39,133.195
12963,8,8,1856.63,232.07875
12965,89,1,771.91,771.91
12966,10,1,160.18,160.18
12967,358,2,1660.9,830.45
12968,112,1,135.95,135.95
12970,7,4,452.24,113.06
12971,4,86,11189.91,130.11523255813952
12974,198,1,144.8,144.8
12976,212,1,738.6,738.6
12977,156,1,39.239999999999995,39.239999999999995
12980,158,9,7374.900000000001,819.4333333333334
12981,30,2,372.21999999999997,186.10999999999999
12982,243,1,390.54,390.54
12984,19,1,97.5,97.5
12985,1,2,1239.38,619.69
12987,74,2,558.7,279.35
12988,292,1,535.32,535.32
12989,3,15,6924.110000000001,461.6073333333334
12990,31,3,409.5,136.5
12991,23,2,503.76,251.88
12993,23,4,414.76,103.69
12994,4,3,974.4200000000001,324.8066666666667
12995,85,1,211.32,211.32
12997,22,4,1226.89,306.7225
12999,196,3,455.88,151.96
13000,107,3,534.85,178.28333333333333
13001,4,13,9818.82,755.2938461538462
13002,318,1,120.94999999999999,120.94999999999999
13003,106,3,149.05,49.68333333333334
13004,12,18,5655.91,314.21722222222223
13005,174,2,513.7,256.85
13006,56,1,81.57,81.57
13008,323,1,229.46999999999997,229.46999999999997
13011,372,1,50.550000000000004,50.550000000000004
13012,9,8,1661.8400000000001,207.73000000000002
13013,1,13,4810.9400000000005,370.07230769230773
13014,11,10,3466.2799999999997,346.628
13015,53,5,3346.28,669.2560000000001
13016,73,3,789.89,263.2966666666667
13017,7,1,204.0,204.0
13018,16,28,7277.7,259.91785714285714
13021,4,9,2616.38,290.7088888888889
13023,64,2,689.9,344.95
13026,1,5,975.36,195.072
13027,114,6,6912.0,1152.0
13028,23,2,661.3199999999999,330.65999999999997
13029,31,3,1247.5,415.8333333333333
13030,11,2,799.48,399.74
13032,52,2,1010.18,505.09
13033,357,1,190.55,190.55
13034,55,2,642.77,321.385
13035,74,2,921.88,460.94
13037,138,3,881.07,293.69
13038,80,3,908.46,302.82
13040,9,2,676.99,338.495
13043,273,1,516.42,516.42
13044,291,1,560.47,560.47
13045,99,1,305.28000000000003,305.28000000000003
13046,31,2,629.31,314.655
13047,32,10,3237.54,323.754
13048,14,4,1835.91,458.9775
13049,64,2,656.6800000000001,328.34000000000003
13050,15,17,5836.86,343.3447058823529
13052,212,1,348.15000000000003,348.15000000000003
13055,78,3,1214.41,404.80333333333334
13058,25,3,271.40000000000003,90.46666666666668
13059,250,1,183.4,183.4
13060,254,1,307.53,307.53
13061,72,1,248.61,248.61
13062,191,1,346.98,346.98
13064,13,4,1119.49,279.8725
13065,373,1,205.86,205.86
13066,24,2,470.8,235.4
13067,82,1,115.46000000000001,115.46000000000001
13068,10,2,344.0,172.0
13069,1,24,4436.12,184.83833333333334
13070,192,1,228.8,228.8
13072,267,1,177.15,177.15
13075,130,1,919.61,919.61
13077,1,4,729.27,182.3175
13078,3,26,12627.94,485.69
13079,4,5,220.10000000000002,44.02
13080,179,1,58.08,58.08
13081,12,11,28337.38,2576.1254545454544
13082,126,9,3613.63,401.51444444444445
13083,4,2,303.75,151.875
13085,158,2,416.08000000000004,208.04000000000002
13089,3,97,58825.83,606.4518556701031
13090,9,14,8910.82,636.4871428571429
13091,28,1,345.82,345.82
13092,71,5,477.83,95.566
13093,276,8,7832.47,979.05875
13094,21,12,1927.3200000000002,160.61
13095,71,1,74.39999999999999,74.39999999999999
13097,33,10,6010.42,601.042
13098,1,28,28882.44,1031.5157142857142
13099,99,1,207.35999999999999,207.35999999999999
13101,234,1,101.19,101.19
13102,1,24,6424.09,267.67041666666665
13103,40,1,243.94,243.94
13104,3,6,1098.48,183.08
13106,133,1,76.5,76.5
13107,44,4,1531.6200000000001,382.90500000000003
13108,373,1,350.06,350.06
13109,60,2,786.54,393.27
13110,31,7,1488.67,212.66714285714286
13113,1,24,12245.960000000001,510.2483333333334
13115,12,4,2294.78,573.695
13116,138,1,501.14,501.14
13117,22,8,984.91,123.11375
13118,20,5,1197.81,239.56199999999998
13120,239,1,30.599999999999998,30.599999999999998
13121,269,1,283.73,283.73
13122,94,2,922.39,461.195
13124,90,3,3866.33,1288.7766666666666
13126,5,8,2099.64,262.455
13127,78,1,259.17,259.17
13130,94,1,64.0,64.0
13131,23,3,1073.3,357.76666666666665
13132,262,1,77.3,77.3
13133,274,2,109.8,54.9
13134,86,4,1793.58,448.395
13135,197,1,3096.0,3096.0
13136,56,5,2607.61,521.522
13137,11,8,3650.41,456.30125
13138,22,6,962.39,160.39833333333334
13139,16,7,5064.94,723.5628571428571
13140,108,3,423.72,141.24
13141,85,5,2388.75,477.75
13142,19,1,307.09,307.09
13144,333,1,110.95,110.95
13145,40,4,618.52,154.63
13146,26,1,228.91,228.91
13147,10,4,712.8000000000001,178.20000000000002
13148,29,12,3707.12,308.9266666666667
13149,14,4,1676.06,419.015
13151,296,1,1257.8700000000001,1257.8700000000001
13153,6,1,486.22,486.22
13155,33,4,971.76,242.94
13157,49,4,1741.22,435.305
13158,95,4,1201.06,300.265
13159,9,4,1437.85,359.4625
13160,22,1,91.8,91.8
13161,313,1,112.75,112.75
13162,122,4,1688.29,422.0725
13165,46,2,1021.48,510.74
13166,283,1,417.2,417.2
13167,19,4,791.33,197.8325
13168,36,4,1319.19,329.7975
13169,64,2,712.88,356.44
13170,27,1,116.00999999999999,116.00999999999999
13171,22,3,468.41,156.13666666666668
13173,4,2,353.65,176.825
13174,16,3,2817.03,939.0100000000001
13176,46,1,492.84,492.84
13177,65,1,282.45,282.45
13178,26,11,5725.47,520.4972727272727
13182,45,1,121.18,121.18
13183,8,9,3957.78,439.75333333333333
13184,15,10,1701.29,170.129
13185,268,1,71.4,71.4
13186,40,3,1575.89,525.2966666666667
13187,337,1,236.02,236.02
13188,11,1,114.60000000000001,114.60000000000001
13189,19,2,260.68,130.34
13192,95,2,911.94,455.97
13193,61,1,117.88,117.88
13194,136,1,60.7,60.7
13196,11,4,1797.78,449.445
13198,10,6,3401.2400000000002,566.8733333333333
13199,4,38,9817.12,258.34526315789475
13200,19,4,870.09,217.5225
13203,10,4,869.46,217.365
13207,15,2,250.26000000000002,125.13000000000001
13208,59,6,1223.9,203.98333333333335
13209,30,8,5891.61,736.45125
13210,94,1,353.48,353.48
13211,10,3,1197.42,399.14000000000004
13212,20,3,788.08,262.6933333333333
13213,57,5,1520.58,304.116
13216,268,1,333.74,333.74
13217,122,3,533.98,177.99333333333334
13218,127,1,62.63999999999999,62.63999999999999
13220,78,4,819.2900000000001,204.82250000000002
13221,240,2,847.41,423.705
13223,200,2,163.20000000000002,81.60000000000001
13224,60,2,2155.95,1077.975
13225,3,7,6463.84,923.4057142857143
13226,273,1,108.21000000000001,108.21000000000001
13227,202,1,257.7,257.7
13228,81,1,358.0,358.0
13229,226,1,160.95,160.95
13230,4,14,2806.97,200.49785714285713
13232,13,7,1357.6,193.94285714285712
13233,74,2,605.12,302.56
13235,212,1,1031.07,1031.07
13236,25,2,744.85,372.425
13238,17,4,700.73,175.1825
13239,262,1,329.56,329.56
13240,96,4,663.65,165.9125
13242,112,3,270.40000000000003,90.13333333333334
13243,203,1,600.07,600.07
13244,93,1,121.74000000000001,121.74000000000001
13245,51,1,430.5,430.5
13246,18,6,1987.3,331.21666666666664
13247,18,4,501.12,125.28
13248,125,2,465.68,232.84
13249,92,3,711.41,237.13666666666666
13253,157,2,1030.4,515.2
13255,9,2,399.51,199.755
13258,12,3,698.58,232.86
13259,62,1,292.32,292.32
13260,61,1,557.62,557.62
13261,269,2,944.1,472.05
13262,263,1,200.29,200.29
13263,1,35,7454.07,212.97342857142857
13265,53,5,2107.66,421.532
13266,11,12,3834.2599999999998,319.52166666666665
13267,3,19,4521.49,237.97315789473683
13268,18,11,3214.69,292.24454545454546
13269,1,15,5346.2300000000005,356.41533333333336
13270,366,1,590.0,590.0
13271,37,1,217.38,217.38
13272,31,2,276.56,138.28
13273,113,1,138.98,138.98
13276,64,2,590.9300000000001,295.46500000000003
13277,16,4,258.4,64.6
13278,41,1,542.73,542.73
13279,78,1,137.75,137.75
13280,122,3,814.86,271.62
13282,18,3,1132.14,377.38000000000005
13283,60,2,93.66,46.83
13284,331,1,201.19,201.19
13285,23,4,2709.12,677.28
13291,156,1,361.11,361.11
13292,39,2,578.9399999999999,289.46999999999997
13294,190,2,873.74,436.87
13295,360,1,201.20000000000002,201.20000000000002
13296,137,1,87.4,87.4
13297,8,4,2089.85,522.4625
13298,1,1,360.0,360.0
13299,268,1,142.5,142.5
13300,169,1,371.89,371.89
13301,104,4,618.09,154.5225
13302,155,1,63.75,63.75
13304,351,1,300.42,300.42
13305,4,10,2000.86,200.08599999999998
13307,120,1,15.0,15.0
13308,23,3,1385.51,461.83666666666664
13309,7,5,1456.79,291.358
13310,28,3,1132.03,377.3433333333333
13311,4,2,598.57,299.285
13313,22,5,1555.32,311.06399999999996
13314,2,3,775.94,258.6466666666667
13316,37,4,5977.7300000000005,1494.4325000000001
13317,66,6,2273.68,378.94666666666666
13318,1,3,640.76,213.58666666666667
13319,5,26,10845.550000000001,417.1365384615385
13320,78,4,1548.7,387.175
13321,72,2,567.36,283.68
13322,17,1,199.48000000000002,199.48000000000002
13323,3,5,787.85,157.57
13324,36,10,7121.95,712.1949999999999
13325,82,1,675.3,675.3
13327,39,8,3627.77,453.47125
13328,316,1,1308.48,1308.48
13329,32,2,789.0,394.5
13330,93,3,1140.93,380.31
13332,14,1,350.9,350.9
13334,82,3,3536.82,1178.94
13336,77,1,795.12,795.12
13338,158,1,487.02,487.02
13339,201,1,860.12,860.12
13340,45,7,10736.48,1533.782857142857
13341,261,1,775.85,775.85
13343,178,1,353.43,353.43
13344,68,3,2543.72,847.9066666666666
13345,288,1,389.5,389.5
13347,70,1,341.36,341.36
13348,64,1,233.76,233.76
13349,11,1,247.32,247.32
13350,16,2,979.12,489.56
13351,66,1,373.94,373.94
13352,60,1,397.97999999999996,397.97999999999996
13354,71,1,743.53,743.53
13355,122,1,674.7,674.7
13356,80,1,768.24,768.24
13357,257,1,609.95,609.95
13358,269,1,439.03,439.03
13359,64,1,439.56,439.56
13362,9,4,3090.7400000000002,772.6850000000001
13363,18,2,992.5,496.25
13364,71,1,134.95999999999998,134.95999999999998
13365,34,2,2225.37,1112.685
13366,50,1,56.160000000000004,56.160000000000004
13368,257,2,623.4,311.7
13369,366,1,308.28000000000003,308.28000000000003
13370,372,1,754.87,754.87
13372,90,1,378.64,378.64
13373,61,3,3312.25,1104.0833333333333
13375,89,1,778.65,778.65
13376,99,3,1019.76,339.92
13379,26,3,572.56,190.85333333333332
13381,32,6,3639.31,606.5516666666666
13382,281,1,222.99,222.99
13384,31,7,4151.93,593.1328571428572
13385,330,1,534.57,534.57
13388,131,2,677.1,338.55
13389,11,3,797.96,265.9866666666667
13390,75,1,544.08,544.08
13391,204,1,59.8,59.8
13394,2,8,2520.02,315.0025
13395,185,1,307.72,307.72
13396,29,2,1360.99,680.495
13397,73,5,1544.13,308.826
13398,192,1,457.34,457.34
13402,127,2,621.23,310.615
13403,18,1,75.0,75.0
13404,1,2,252.49,126.245
13405,74,3,572.451,190.817
13408,2,62,28117.04,453.5006451612903
13410,24,5,1003.06,200.612
13411,107,1,213.55,213.55
13414,134,3,1390.5,463.5
13416,44,2,712.5,356.25
13417,5,2,640.83,320.415
13418,12,18,6127.43,340.4127777777778
13419,64,1,221.06,221.06
13420,150,2,159.85,79.925
